County,State,CenReg,CenDiv,EMMReg
20185,20,2,4,17
20187,20,2,4,17
20189,20,2,4,17
20191,20,2,4,17
20193,20,2,4,17
20195,20,2,4,17
20197,20,2,4,17
20199,20,2,4,17
20201,20,2,4,17
20203,20,2,4,17
20205,20,2,4,17
20207,20,2,4,17
20209,20,2,4,17
21001,21,3,6,15
21003,21,3,6,15
21005,21,3,6,15
21007,21,3,6,15
21009,21,3,6,15
21011,21,3,6,15
21013,21,3,6,15
21015,21,3,6,15
21017,21,3,6,15
21019,21,3,6,11
21021,21,3,6,15
21023,21,3,6,15
21025,21,3,6,15
21027,21,3,6,15
21029,21,3,6,15
21031,21,3,6,15
21033,21,3,6,15
21035,21,3,6,15
21037,21,3,6,11
21039,21,3,6,15
21041,21,3,6,15
21043,21,3,6,11
21045,21,3,6,15
21047,21,3,6,15
21049,21,3,6,15
21051,21,3,6,15
21053,21,3,6,15
21055,21,3,6,15
21057,21,3,6,15
21059,21,3,6,15
21061,21,3,6,15
21063,21,3,6,15
21065,21,3,6,15
21067,21,3,6,15
21069,21,3,6,15
21071,21,3,6,15
21073,21,3,6,15
21075,21,3,6,15
21077,21,3,6,15
21079,21,3,6,15
21081,21,3,6,15
21083,21,3,6,15
21085,21,3,6,15
21087,21,3,6,15
21089,21,3,6,15
21091,21,3,6,15
21093,21,3,6,15
21095,21,3,6,15
21097,21,3,6,15
21099,21,3,6,15
21101,21,3,6,15
21103,21,3,6,15
21105,21,3,6,15
21107,21,3,6,15
21109,21,3,6,15
21111,21,3,6,15
21113,21,3,6,15
21115,21,3,6,15
21117,21,3,6,15
21119,21,3,6,15
21121,21,3,6,15
21123,21,3,6,15
21125,21,3,6,15
21127,21,3,6,11
21129,21,3,6,15
21131,21,3,6,15
21133,21,3,6,15
21135,21,3,6,11
21137,21,3,6,15
21139,21,3,6,15
21141,21,3,6,15
21143,21,3,6,15
21145,21,3,6,15
21147,21,3,6,15
21149,21,3,6,15
21151,21,3,6,15
21153,21,3,6,15
21155,21,3,6,15
21157,21,3,6,15
21159,21,3,6,15
21161,21,3,6,15
21163,21,3,6,15
21165,21,3,6,15
