Sector,emis,region_cd,region,emis_base,emis_2020,emis_2030,emis_2040,emis_2050,GF_2020,GF_2030,GF_2040,GF_2050
residential,NOX,6,east south central,12.5112811636742,10.5859155561364,9.32572524690805,8.14175558483356,7.29856445561987,0.846109636387363,0.745385314653849,0.650753146566052,0.583358679270262
commercial,OC,6,east south central,0.00572207628386717,0.005847327889062,0.005847327889062,0.005847327889062,0.005847327889062,1.02188918829131,1.02188918829131,1.02188918829131,1.02188918829131
residential,OC,6,east south central,0,0,0,0,0,NA,NA,NA,NA
commercial,PM10.PRI,6,east south central,0.674022082340553,0.459843940197289,0.462290650558045,0.47580215728547,0.507241663416834,0.682238686602779,0.685868701738574,0.705914790852607,0.752559414159591
residential,PM10.PRI,6,east south central,20.2423873816547,14.0641483203829,10.4875161266844,7.32100102120806,4.77439047827339,0.694787035501999,0.518096799994502,0.361666876696716,0.235861036954581
commercial,PM25.PRI,6,east south central,0.662083627040681,0.452045023833654,0.454793945843341,0.468597179351179,0.500257727885318,0.68276121832851,0.686913144002875,0.707761316264035,0.755580877481177
residential,PM25.PRI,6,east south central,17.4073708784931,12.0941114938286,9.01829336039219,6.29517919005851,4.10514429881056,0.694769565045057,0.518073258928168,0.361638712359271,0.235827933320045
commercial,SO2,6,east south central,3.4096023856353,1.0857120432106,1.04142691492694,0.996101555816801,0.96730370323208,0.318427757965188,0.30543940235216,0.292145958136758,0.283699855240407
residential,SO2,6,east south central,0.655869178612333,0.490055306028656,0.412048633347048,0.343323484498135,0.288212854149918,0.747184533149582,0.628248203733018,0.523463360825291,0.439436496710685
commercial,VOC,6,east south central,1.34419383184188,0.336065397929161,0.342075060051724,0.353337893419425,0.377830006328864,0.250012602325862,0.254483432335793,0.262862308284262,0.28108297879268
residential,VOC,6,east south central,33.5220630502203,23.3808953006374,17.5034739783691,12.2960838155234,8.11348298116635,0.697477815300624,0.522147874733923,0.366805700386112,0.242034118515061
electric power,BC,2,florida reliability coordinating council,2.11691004664417,1.81728545599051,1.5250140361015,1.55686118705168,1.59614600955691,0.858461349773158,0.720396239093402,0.73544040736152,0.753998032220218
electric power,CH4,2,florida reliability coordinating council,7.79899416666669,6.951945,7.74372,8.084275,8.25306,0.891389947400266,0.992912654441655,1.03657918280701,1.058221076158
electric power,CO,2,florida reliability coordinating council,106.049153863894,96.3954951191105,107.955166998782,112.795271307311,115.159479821571,0.908969959749292,1.01797292166361,1.06361311898891,1.08590663504368
electric power,CO2,2,florida reliability coordinating council,7.79899416666669,6.951945,7.74372,8.084275,8.25306,0.891389947400266,0.992912654441655,1.03657918280701,1.058221076158
electric power,OC,2,florida reliability coordinating council,4.38084297439539,3.85565568757303,3.36593237995339,3.45180147090141,3.53702129407229,0.880117299366376,0.768329839628166,0.787930882498203,0.80738371923966
electric power,PM10.PRI,2,florida reliability coordinating council,73.180810989495,61.1274036178632,47.791829050354,48.8295266268429,50.0223805993569,0.835292787704115,0.653065037188704,0.667244950781597,0.68354504306515
electric power,PM25.PRI,2,florida reliability coordinating council,49.5770271608112,42.9581715242201,36.0842075752733,36.8585115011486,37.79051470367,0.86649349475672,0.727841293473049,0.743459493478542,0.76225858765372
electric power,VOC,2,florida reliability coordinating council,9.14661153498443,8.2592948901359,9.10226826890293,9.48072963315159,9.68524517313661,0.902989578003321,0.99515194606091,1.03652916677277,1.05888887224433
commercial,BC,2,middle atlantic,0.0110585761763202,0.014925640283435,0.014925640283435,0.014925640283435,0.014925640283435,1.34968915034427,1.34968915034427,1.34968915034427,1.34968915034427
residential,BC,2,middle atlantic,0,0,0,0,0,NA,NA,NA,NA
commercial,CH4,2,middle atlantic,0.825369333333334,0.763561,0.803326,0.882372,0.990393,0.92511433265431,0.973292764289764,1.06906322341352,1.19993917874341
residential,CH4,2,middle atlantic,1.17652845233333,1.144473764,1.073018152,1.001097704,0.951928001,0.972754854955049,0.91202057193938,0.850891197756066,0.809099005733438
commercial,CO,2,middle atlantic,25.6148232374034,24.7183358561861,27.3122530873412,31.4367390631393,36.4877026968008,0.965001227105553,1.06626748247316,1.22728698034639,1.42447606835407
residential,CO,2,middle atlantic,215.967663002669,175.565010569403,149.595915189356,127.348950571967,112.18221337727,0.812922676147279,0.692677380999896,0.589666752889729,0.519439863438649
commercial,CO2,2,middle atlantic,0.825369333333334,0.763561,0.803326,0.882372,0.990393,0.92511433265431,0.973292764289764,1.06906322341352,1.19993917874341
residential,CO2,2,middle atlantic,1.17652845233333,1.144473764,1.073018152,1.001097704,0.951928001,0.972754854955049,0.91202057193938,0.850891197756066,0.809099005733438
commercial,NOX,2,middle atlantic,42.2560513688298,36.4445838689964,38.4209561817386,42.0095014378038,47.0334673170408,0.86247017145288,0.909241515407656,0.994165334359475,1.11305874054609
residential,NOX,2,middle atlantic,56.9852199768521,54.4145848493336,50.2015325725397,46.2502984967267,43.5179561332745,0.954889441006586,0.880957072604651,0.811619197320183,0.763670933462254
commercial,OC,2,middle atlantic,0.0221171523351882,0.029851280543315,0.029851280543315,0.029851280543315,0.029851280543315,1.34968915034427,1.34968915034427,1.34968915034427,1.34968915034427
residential,OC,2,middle atlantic,0,0,0,0,0,NA,NA,NA,NA
commercial,PM10.PRI,2,middle atlantic,2.80987017953033,3.05055657780692,3.10669207949831,3.31703730421076,3.62313956628894,1.08565747984728,1.10563544968387,1.18049486000282,1.28943308224103
residential,PM10.PRI,2,middle atlantic,28.5772926387555,22.9308458511796,19.227627988308,16.1198985742289,13.9872489500113,0.802414915263234,0.672828886604613,0.564080676850672,0.489453256710621
commercial,PM25.PRI,2,middle atlantic,2.71307956307096,2.93770450298608,3.00173491282829,3.2194465421418,3.53099194986617,1.08279334781501,1.10639398626062,1.18663919258515,1.3014701072273
